Wavl[A],Elm,Ion,Elow[eV],UnBrCalDep
4845.67,Y,1,1.398,0.026
4846.28,Cr,1,3.556,0.031
4846.3,Cr,1,3.449,0.138
4846.34,Ti,1,2.695,0.075
4846.39,Fe,1,4.608,0.174
4846.41,Cr,1,4.239,0.023
4846.43,Cr,1,3.113,0.087
4846.48,Fe,2,2.704,0.05
4846.59,Ce,2,0.957,0.028
4847.09,Fe,1,2.176,0.028
4847.21,Cr,1,3.104,0.24
4847.31,Ca,1,2.933,0.313
4847.42,Ni,1,4.419,0.226
4847.61,Mn,2,5.437,0.022
4847.62,Fe,2,2.692,0.03
4847.76,Sm,2,0.659,0.025
4848.2,Fe,1,3.415,0.27
4848.23,Cr,2,3.864,0.658
4848.41,Ti,1,2.25,0.027
4848.48,Ti,1,2.175,0.202
4848.88,Fe,1,2.2786,0.66
4849.06,Nd,2,0.471,0.053
4849.17,Ti,2,1.131,0.471
4849.67,Fe,1,3.5732,0.272
4849.84,Fe,1,4.301,0.039
4850.74,Ni,1,4.236,0.082
4851.46,Cr,1,3.435,0.092
4851.48,V,1,0,0.481
4851.54,Si,1,5.082,0.06
4851.87,Fe,1,4.1427,0.216
4852.55,Ni,1,3.542,0.637
4853.27,Ni,1,3.898,0.225
4853.77,Ni,1,3.543,0.374
4853.93,Ti,1,2.677,0.024
4854.16,Fe,1,4.835,0.057
4854.33,Fe,1,4.559,0.057
4854.37,Sm,2,0.378,0.024
4854.6,Mn,1,3.859,0.057
4854.74,Ti,1,2.239,0.051
4854.86,Y,2,0.992,0.715
4854.88,Fe,1,4.186,0.546
4854.89,Fe,1,4.143,0.341
4855.14,Ni,1,3.74,0.158
4855.41,Ni,1,3.5421,0.795
4855.55,Fe,2,2.704,0.304
4855.67,Fe,1,3.3683,0.761
4855.91,Ti,2,3.095,0.29
4856.01,Ti,1,2.2557,0.648
4856.09,Fe,1,4.283,0.064
4856.19,Cr,2,3.854,0.322
4856.64,Fe,1,4.191,0.118
4857.39,Ni,1,3.74,0.647
4857.46,Ti,1,2.677,0.107
4858.25,Fe,1,4.191,0.28
4858.33,Fe,1,4.186,0.155
4859.03,Nd,2,0.321,0.293
4859.12,Fe,1,4.1909,0.491
4859.74,Fe,1,2.8754,0.863
4860.2,Fe,1,4.435,0.022
4860.2,Cr,2,3.871,0.305
4860.3,Ni,1,4.236,0.178
4860.89,La,2,0.244,0.161
4860.98,Fe,1,3.396,0.521
4861.2,Cr,1,2.544,0.231
4861.32,H,1,10.199,0.749
4861.37,Fe,1,4.638,0.064
4861.84,Cr,1,2.545,0.476
4862.04,Mn,1,3.853,0.06
4862.09,Co,1,4.064,0.021
4862.54,Fe,1,4.154,0.169
4862.6,Fe,1,4.154,0.407
4863.44,Co,1,1.956,0.026
4863.64,Fe,1,3.43,0.748
4863.75,Ti,1,2.25,0.066
4863.78,Fe,1,3.039,0.268
4863.93,Ni,1,3.74,0.443
4863.99,Fe,1,3.301,0.029
4864.17,Ti,1,2.16,0.073
4864.27,Ni,1,3.743,0.481
4864.33,Cr,2,3.858,0.606
4864.73,V,1,0.017,0.651
4864.84,V,1,1.183,0.05
4865.61,Ti,2,1.116,0.583
4865.78,Ti,1,2.578,0.162
4866.16,Ni,1,4.419,0.239
4866.26,Ni,1,3.539,0.789
4866.55,Ti,1,3.148,0.023
4866.88,Si,1,4.954,0.27
4867.53,Fe,1,1.608,0.247
4867.64,Fe,1,3.267,0.028
4867.8,Nd,2,0.205,0.023
4867.87,Co,1,3.117,0.705
4868.12,Fe,1,4.256,0.109
4868.14,Ti,1,3.337,0.053
4868.26,Ti,1,2.236,0.565
4868.37,Fe,1,1.557,0.417
4868.45,Fe,1,4.733,0.285
4868.81,Fe,2,2.676,0.03
4868.93,Fe,1,4.549,0.067
4869.07,Si,1,4.954,0.208
4869.38,Co,1,4.113,0.059
4869.46,Fe,1,3.5466,0.461
4870.04,Fe,1,3.928,0.273
4870.13,Ti,1,2.2492,0.616
4870.8,Cr,1,3.079,0.717
4870.83,Ni,1,3.743,0.547
4870.92,Fe,1,4.559,0.132
4871.05,Fe,1,4.186,0.252
4871.28,Fe,2,2.704,0.364
4871.32,Fe,1,2.8654,0.915
4871.93,Fe,1,3.251,0.683
4872.08,Fe,1,4.593,0.067
4872.14,Fe,1,2.882,0.904
4872.49,Sr,1,1.798,0.041
4872.69,Fe,1,4.26,0.109
4872.91,Fe,1,4.2204,0.25
4873.12,Fe,1,4.076,0.343
4873.44,Ni,1,3.699,0.749
4873.75,Fe,1,3.301,0.313
4874.01,Ti,2,3.095,0.588
4874.35,Fe,1,3.0713,0.448
4874.65,Cr,1,3.113,0.071
4874.79,Ni,1,3.5432,0.439
4874.88,Ti,1,3.319,0.028
4875.03,Fe,1,4.733,0.552
4875.28,Ti,1,2.662,0.045
4875.49,V,1,0.04,0.701
4875.72,Fe,1,4.593,0.032
4875.84,Nd,2,0.742,0.023
4875.88,Fe,1,3.332,0.699
4876.11,Nd,2,0.559,0.027
4876.19,Fe,1,3.251,0.143
4876.31,Mn,1,4.679,0.021
4876.31,Sr,1,1.847,0.03
4876.4,Cr,2,3.854,0.571
4876.47,Cr,2,3.864,0.353
4876.58,Al,1,3.143,0.048
4877.6,Fe,1,2.998,0.334
4878.13,Ca,1,2.709,0.801
4878.15,Fe,1,3.64,0.082
4878.21,Fe,1,2.8851,0.879
4880.04,Cr,1,4.203,0.029
4880.07,Cr,1,3.122,0.105
4880.52,Fe,1,4.076,0.384
4880.55,V,1,1.195,0.059
4880.9,Ti,1,3.305,0.118
4880.91,Ti,1,2.154,0.033
4881.44,Y,2,0.409,0.035
4881.56,V,1,0.069,0.736
4881.72,Fe,1,3.301,0.749
4881.73,Fe,1,4.143,0.127
4882.14,Fe,1,3.417,0.751
4882.33,Ti,1,2.256,0.099
4882.46,Ce,2,1.528,0.076
4882.69,Co,1,3.252,0.127
4882.89,Fe,1,4.549,0.086
4883.41,V,2,3.796,0.044
4883.68,Y,2,1.084,0.779
4883.91,Fe,1,4.549,0.049
4884.61,Cr,2,3.858,0.29
4884.83,Ti,1,3.294,0.029
4885,Fe,1,3.301,0.026
4885.08,Ti,1,1.887,0.738
4885.43,Fe,1,3.8816,0.776
4885.77,Cr,1,2.5443,0.544
4885.84,Fe,1,4.584,0.025
4885.95,Cr,1,3.087,0.25
4886.18,Fe,1,3.111,0.099
4886.33,Fe,1,4.1543,0.798
4886.7,Ni,1,3.706,0.218
4886.98,Ni,1,3.635,0.577
4887.01,Cr,1,3.087,0.731
4887.19,Fe,1,4.1909,0.737
4887.37,Fe,1,4.0759,0.323
4887.69,Cr,1,2.544,0.11
4887.75,Zr,1,0.73,0.634
4888.17,Fe,1,4.559,0.628
4888.52,Cr,1,2.544,0.399
4888.63,Fe,1,4.1034,0.772
4888.82,Mn,1,5.087,0.032
4889,Fe,1,2.198,0.813
4889.1,Nd,2,0.182,0.162
4889.1,Fe,1,3.884,0.745
4889.67,Cr,1,3.422,0.022
4890.65,C,1,7.488,0.043
4890.69,Nd,2,0.471,0.213
4890.75,Fe,1,2.8754,0.914
4890.91,Fe,1,4.22,0.136
4890.99,Ti,1,2.334,0.292
4891.05,Fe,1,4.076,0.342
4891.15,Fe,1,4.143,0.238
4891.18,Fe,1,4.209,0.17
4891.22,Fe,1,4.549,0.221
4891.49,Fe,1,2.8513,0.928
4891.6,Cr,1,3.122,0.027
4892.86,Fe,1,4.2176,0.692
4893.05,Ti,1,2.249,0.093
4893.41,Ti,1,2.695,0.024
4893.7,Fe,1,4.209,0.142
4893.82,Fe,2,2.828,0.291
4893.95,Ce,2,1.327,0.03
4894.56,Fe,1,4.1427,0.196
4896.44,Fe,1,3.8836,0.546
4897.18,Co,1,3.93,0.042
4898.46,Cr,1,5.504,0.021
4899.5,Co,1,2.042,0.19
4899.91,Ti,1,1.879,0.749
4899.91,La,2,0,0.415
4899.93,Ba,2,2.722,0.312
4900.12,Y,2,1.033,0.762
4900.58,Ti,1,2.677,0.025
4900.63,V,1,2.616,0.058
4900.7,Cr,1,4.203,0.022
4900.82,Fe,1,4.796,0.048
4900.97,Ni,1,3.48,0.375
4901,Ti,1,2.662,0.039
4902.03,Nd,2,0.064,0.108
4902.17,Fe,1,3.301,0.165
4902.23,Fe,1,4.559,0.47
4903.23,Cr,1,2.544,0.525
4903.31,Fe,1,2.882,0.875
4903.74,Ti,1,2.677,0.031
4904.17,Co,1,2.871,0.027
4904.31,V,1,1.195,0.047
4904.41,Ni,1,3.542,0.789
4904.43,V,1,2.638,0.086
4905.13,Fe,1,3.9286,0.521
4905.22,Fe,1,3.301,0.127
4907.14,Co,1,0.432,0.232
4907.32,Fe,1,4.143,0.42
4907.57,Co,1,2.874,0.024
4907.68,Fe,1,4.584,0.022
4907.73,Fe,1,3.4302,0.743
4907.97,Fe,1,4.186,0.342
4908.03,Fe,1,4.2176,0.533
4908.6,Fe,1,2.484,0.129
4908.83,Fe,1,4.608,0.048
4909.1,Ti,1,0.826,0.133
4909.38,Fe,1,3.9286,0.747
4910.02,Fe,1,3.3966,0.813
4910.33,Fe,1,4.1909,0.773
4910.56,Fe,1,4.2176,0.774
4911.19,Ti,2,3.124,0.646
4911.38,Fe,1,3.642,0.021
4911.52,Fe,1,4.256,0.193
4911.78,Fe,1,3.9286,0.634
4912.02,Ni,1,3.7681,0.641
4912.5,Fe,1,4.143,0.169
4913.14,Fe,1,4.608,0.306
4913.62,Ti,1,1.8732,0.698
4913.97,Ni,1,3.743,0.694
4914.38,Nd,2,0.38,0.16
4914.92,Ce,2,0.879,0.022
4915.23,Ti,1,1.887,0.175
4915.77,Fe,1,4.733,0.044
4915.85,Fe,1,4.143,0.112
4916.66,Fe,1,3.929,0.081
4917.23,Fe,1,4.191,0.682
4917.88,Fe,1,3.017,0.074
4918.01,Fe,1,4.23,0.619
4918.36,Ni,1,3.841,0.756
4918.71,Ni,1,3.768,0.649
4918.95,Fe,1,4.154,0.771
4918.99,Fe,1,2.8654,0.917
4919.41,Cr,1,5.519,0.024
4919.74,Fe,1,3.274,0.068
4919.86,Ti,1,2.1603,0.394
4920.23,Cr,2,3.887,0.038
4920.5,Fe,1,2.8326,0.933
4920.54,Fe,1,4.559,0.023
4920.69,Nd,2,0.064,0.348
4920.94,Cr,1,3.104,0.288
4920.98,La,2,0.126,0.43
4921.73,Si,1,5.082,0.025
4921.77,Ti,1,2.1747,0.506
4921.78,La,2,0.244,0.437
4922.17,Fe,1,4.209,0.391
4922.27,Cr,1,3.1044,0.757
4922.54,Cr,1,3.011,0.029
4923.16,Fe,1,4.733,0.112
4923.91,Fe,1,4.559,0.538
4923.93,Fe,2,2.891,0.872
4924.3,Fe,1,4.796,0.239
4924.58,Ni,1,3.597,0.027
4924.68,Fe,1,4.593,0.261
4924.77,Fe,1,2.2786,0.841
4924.92,Fe,2,2.844,0.071
4924.99,Co,1,4.025,0.023
4925.28,Fe,1,4.1034,0.393
4925.4,Ti,1,1.879,0.219
4925.56,Ni,1,3.655,0.683
4925.66,V,1,1.218,0.142
4926.15,Ti,1,0.818,0.15
4926.41,Fe,1,4.607,0.17
4926.43,C,1,8.537,0.027
4926.82,Fe,1,3.634,0.528
4927.42,Fe,1,3.573,0.601
4927.49,Fe,1,4.559,0.164
4927.72,Fe,1,4.796,0.248
4928.18,Cr,1,4.239,0.022
4928.27,Co,1,3.216,0.108
4928.34,Ti,1,2.154,0.382
4928.34,Ti,1,2.267,0.1
4929.42,Fe,1,4.607,0.05
4930.05,Fe,1,3.301,0.167
4930.19,Cr,1,3.845,0.101
4930.27,Fe,1,4.186,0.073
4930.32,Fe,1,3.96,0.725
4930.8,Ni,1,3.847,0.341
4931.12,Cr,1,5.538,0.029
4932.03,V,1,1.218,0.052
4932.05,C,1,7.685,0.297
4932.08,Fe,1,4.652,0.37
4932.98,Fe,1,3.274,0.183
4933.19,Fe,1,4.191,0.51
4933.29,Fe,1,3.301,0.656
4933.34,Fe,1,4.231,0.737
4933.81,Fe,1,4.559,0.028
4934.01,Fe,1,4.154,0.775
4934.08,Ba,2,0,0.916
4934.08,Fe,1,3.301,0.55
4934.83,La,2,1.252,0.08
4935.41,Fe,1,3.642,0.051
4935.83,Ni,1,3.941,0.722
4936.34,Cr,1,3.113,0.609
4937.29,Fe,1,4.143,0.413
4937.34,Ni,1,3.606,0.75
4937.73,Ti,1,0.813,0.257
4937.97,Fe,1,4.607,0.199
4938.18,Fe,1,3.9433,0.776
4938.29,Ti,1,2.578,0.281
4938.38,Fe,1,4.796,0.226
4938.81,Fe,1,2.8754,0.866
4939.11,Mn,1,5.214,0.102
4939.23,Fe,1,4.2176,0.796
4939.24,Fe,1,4.154,0.747
4939.48,Mn,1,5.112,0.03
4939.6,Fe,1,2.949,0.039
4939.69,Fe,1,0.859,0.889
4941.3,Ti,1,0.826,0.021
4941.57,Ti,1,2.16,0.1
4942.46,Fe,1,4.22,0.604
4942.5,Cr,1,0.941,0.7
4942.59,Fe,1,4.256,0.519
4943.44,Ce,2,1.206,0.031
4943.9,Nd,2,0.205,0.034
4944.57,Cr,1,3.847,0.1
4944.62,Ce,2,1.008,0.037
4944.72,Co,1,2.877,0.021
4945.44,Ni,1,3.796,0.626
4945.64,Fe,1,4.2089,0.628
4946.03,Ni,1,3.7963,0.401
4946.38,Fe,1,4.076,0.076
4946.39,Fe,1,3.3683,0.819
4946.45,La,2,0.235,0.03
4946.56,Fe,1,4.186,0.029
4947.02,Nd,2,0.559,0.036
4947.61,Si,1,5.082,0.274
4947.97,Ti,1,0.818,0.025
4948.18,Fe,1,4.607,0.041
4948.19,Ti,1,2.175,0.144
4948.63,Sm,2,0.544,0.03
4950.1,Fe,1,3.417,0.741
4950.62,Ti,1,1.43,0.027
4952.28,Ni,1,3.606,0.278
4952.61,Fe,1,4.103,0.211
4952.64,Fe,1,4.209,0.149
4953.17,Co,1,0.514,0.276
4953.2,Ni,1,3.74,0.701
4953.72,Cr,1,3.122,0.091
4953.99,Fe,2,5.571,0.034
4954.3,Fe,1,4.178,0.023
4954.81,Cr,1,3.1216,0.672
4954.99,Fe,1,3.017,0.407
4957.3,Fe,1,2.8513,0.909
4957.35,Dy,2,0,0.15
4957.47,Ti,1,1.443,0.052
4957.6,Fe,1,2.8082,0.935
4957.68,Fe,1,4.191,0.789
4958.14,Nd,2,0.38,0.045
4959.12,Nd,2,0.064,0.246
4959.2,Fe,1,4.835,0.176
4960.31,Fe,1,3.882,0.033
4960.61,Fe,1,4.796,0.032
4961.39,Nd,2,0.631,0.063
4961.91,Fe,1,3.634,0.465
4961.94,Sm,2,0.434,0.028
4961.96,Fe,1,4.186,0.384
4962.26,Sr,1,1.847,0.073
4962.31,Zr,2,0.972,0.051
4962.57,Fe,1,4.178,0.681
4964.09,Fe,1,3.884,0.039
4964.72,Ti,1,1.969,0.221
4964.93,Cr,1,0.941,0.611
4965.17,Ni,1,3.796,0.645
4965.41,V,2,3.799,0.022
4965.78,Fe,1,2.845,0.19
4965.85,Mn,1,2.888,0.384
4966.03,Ti,1,2.16,0.04
4966.09,Fe,1,3.3321,0.845
4966.58,Co,1,3.971,0.085
4966.58,Co,1,0.432,0.054
4966.8,Cr,1,3.85,0.077
4967.3,Ti,1,0,0.022
4967.52,Ni,1,3.7963,0.261
4967.9,Fe,1,4.1909,0.782
4967.98,Cr,1,5.274,0.023
4968.28,Fe,1,4.549,0.218
4968.39,Fe,1,4.22,0.587
4968.48,Fe,1,3.301,0.105
4968.51,Fe,1,3.634,0.022
4968.57,Ti,1,1.981,0.488
4968.7,Fe,1,3.64,0.672
4968.83,Fe,1,4.209,0.052
4969.92,Fe,1,4.2176,0.779
4970.39,La,2,0.321,0.104
4970.5,Fe,1,3.6352,0.726
4970.65,Fe,1,3.96,0.514
4970.91,Nd,2,0.321,0.036
4971.49,Ce,2,1.786,0.044
4971.58,Ni,1,3.679,0.328
4971.93,Co,1,3.17,0.064
4972.23,Cr,1,5.277,0.023
4973.03,Ti,1,1.997,0.305
4973.1,Fe,1,3.9597,0.775
4973.33,Cr,1,5.28,0.027
4973.9,Fe,1,4.584,0.117
4974.35,Mn,1,5.199,0.13
4974.36,Ni,1,3.796,0.181
4974.49,Co,1,2.08,0.022
4975.34,Ti,1,2.506,0.362
4975.41,Fe,1,3.301,0.093
4975.47,Ni,1,4.167,0.126
4976.13,Ni,1,3.606,0.527
4976.32,Ni,1,1.676,0.562
4976.57,Fe,1,3.252,0.031
4976.69,Ni,1,4.236,0.179
4977.65,Fe,1,3.929,0.447
4977.73,Ti,1,2.017,0.237
4978.11,Fe,1,3.96,0.021
4978.19,Ti,1,1.969,0.377
4978.36,Fe,1,4.835,0.112
4978.54,Na,1,2.102,0.594
4978.6,Fe,1,3.984,0.76
4978.69,Fe,1,4.076,0.739
4979.26,Ti,1,2.175,0.062
4979.31,Fe,1,4.559,0.023
4979.59,Fe,1,3.64,0.307
4979.72,Fe,1,4.559,0.184
4979.83,Fe,1,3.017,0.069
4979.94,Co,1,4.064,0.083
4980.17,Ni,1,3.606,0.799
4980.28,Fe,1,4.178,0.564
4980.54,Fe,1,4.186,0.337
4981.06,Cr,1,4.613,0.031
4981.28,Nd,2,0.742,0.03
4981.36,Ti,2,1.566,0.176
4981.63,Cr,1,5.282,0.049
4981.73,Ti,1,0.8484,0.869
4982.13,Y,2,1.033,0.273
4982.5,Fe,1,4.1034,0.852
4982.81,Na,1,2.104,0.276
4982.81,Na,1,2.104,0.669
4983.25,Fe,1,4.1543,0.825
4983.34,Fe,1,4.607,0.552
4983.85,Fe,1,4.1034,0.836
4984.11,Ni,1,3.7963,0.79
4984.61,Fe,1,4.607,0.172
4984.63,Fe,1,4.608,0.201
4984.9,Cr,1,3.428,0.022
4985.25,Fe,1,3.9286,0.819
4985.55,Fe,1,2.8654,0.838
4985.73,Fe,1,3.695,0.036
4985.82,Mn,1,3.378,0.173
4985.96,Cr,1,3.845,0.064
4985.98,Fe,1,4.256,0.356
4986.23,Fe,1,4.2176,0.66
4986.82,La,2,0.173,0.113
4986.9,Fe,1,4.256,0.265
4987.16,Nd,2,0.742,0.064
4987.62,Fe,1,4.178,0.089
4987.82,Fe,1,3.882,0.049
4987.86,Co,1,0.582,0.029
4987.87,Fe,1,4.186,0.046
4988.03,Co,1,4.058,0.032
4988.35,Fe,1,4.638,0.503
4988.94,Fe,1,4.154,0.736
4989.13,Ti,1,1.9808,0.493
4989.18,Fe,1,4.733,0.022
4989.42,Nd,2,0.68,0.029
4989.95,Nd,2,0.631,0.12
4991.07,Ti,1,0.836,0.855
4991.13,Fe,2,2.778,0.199
4991.27,Fe,1,4.1909,0.776
4991.28,La,2,0.917,0.034
4991.3,Ni,1,1.935,0.144
4991.8,Fe,1,2.858,0.1
4991.84,Ca,1,4.769,0.03
4991.86,Fe,1,4.22,0.247
4991.91,Sc,1,2.109,0.022
4992.78,Fe,1,4.26,0.164
4993.36,Fe,2,2.807,0.561
4993.67,Fe,1,4.209,0.584
4993.75,Fe,1,4.186,0.087
4993.95,Fe,1,3.929,0.022
4994.13,Fe,1,0.9146,0.9
4994.25,Mn,1,3.383,0.037
4995.07,Ti,1,2.25,0.046
4995.17,Ca,1,4.763,0.042
4995.41,Fe,1,4.2605,0.267
4995.64,Ni,1,3.635,0.346
4995.87,Fe,1,4.231,0.15
4996.37,Ti,2,1.582,0.39
4996.53,Fe,1,4.186,0.145
4996.77,Fe,1,4.652,0.235
4996.84,Ni,1,3.6353,0.616
4997.1,Ti,1,0,0.544
4997.96,Fe,1,4.607,0.352
4998,Mn,1,4.425,0.081
4998.13,Mn,1,4.425,0.111
4998.22,Ni,1,3.606,0.706
4998.4,Mn,1,4.425,0.072
4998.54,Nd,2,0.471,0.049
4999.11,Fe,1,4.186,0.472
4999.26,Fe,1,4.608,0.258
4999.46,La,2,0.403,0.203
4999.5,Ti,1,0.826,0.855
5000.21,Fe,1,4.638,0.534
5000.34,Ni,1,3.6353,0.757
5000.43,Nd,2,0.321,0.05
5000.74,Fe,2,2.778,0.187
5000.87,Zr,2,1.665,0.049
5000.99,Ti,1,1.997,0.611
5001.23,Fe,1,4.652,0.065
5001.48,Ca,2,7.505,0.182
5001.86,Fe,1,3.8816,0.857
5001.87,Fe,1,4.549,0.533
5001.96,Fe,2,10.273,0.03
5002.32,V,1,2.359,0.053
5002.58,Fe,1,4.1863,0.203
5002.79,Fe,1,3.3966,0.773
5003.73,Ni,1,1.676,0.6
5004.04,Fe,1,4.209,0.609
5004.19,Co,1,2.871,0.024
5004.21,Fe,1,3.635,0.185
5004.34,Fe,1,3.301,0.159
5004.4,Cr,1,3.011,0.184
5004.63,Fe,1,4.143,0.056
5004.89,Mn,1,2.92,0.255
5005.16,Ti,2,1.566,0.387
5005.71,Fe,1,3.8836,0.846
5006.06,Si,1,5.082,0.655
5006.11,Fe,1,4.835,0.031
5006.12,Fe,1,2.8326,0.893
5007.11,Mn,1,4.429,0.049
5007.21,Ti,1,0.818,0.844
5007.25,Fe,1,3.943,0.214
5007.27,Fe,1,4.103,0.81
5007.29,Co,1,0.629,0.07
5007.38,Mn,1,4.429,0.141
5007.73,Fe,1,4.2945,0.444
5007.99,Fe,1,4.608,0.03
5008.06,Mn,1,4.429,0.177
5008.64,Fe,1,4.559,0.408
5008.79,Cr,1,3.013,0.021
5009.18,Fe,1,4.186,0.068
5009.44,Fe,1,4.733,0.097
5009.65,Ti,1,0.0211,0.45
5009.81,Cr,1,3.013,0.087
5010.02,Ni,1,3.7681,0.536
5010.17,Cr,1,3.556,0.032
5010.21,Ti,2,3.095,0.375
5010.27,Fe,1,4.559,0.546
5010.39,Mn,1,3.373,0.175
5010.93,Ni,1,3.635,0.657
5011.21,Fe,1,3.017,0.045
5011.24,Fe,1,4.218,0.06
5011.66,Nd,2,0.976,0.027
5011.76,Ce,2,1.048,0.044
5012.07,Fe,1,0.859,0.911
5012.07,Sc,1,2.109,0.022
5012.16,Fe,1,4.191,0.714
5012.44,Ni,1,3.699,0.715
5012.44,Fe,1,4.143,0.701
5012.68,Fe,1,4.283,0.397
5012.76,Fe,1,4.733,0.025
5013.28,Ti,1,2.017,0.653
5013.31,Cr,1,2.708,0.53
5013.33,Ti,2,3.095,0.137
5013.68,Ti,2,1.582,0.626
5014.19,Ti,1,0,0.808
5014.21,Ni,1,4.419,0.532
5014.28,Ti,1,0.813,0.844
5014.62,V,1,2.374,0.066
5014.94,Fe,1,3.9433,0.835
5015.32,Fe,1,4.076,0.525
5015.77,Fe,1,4.186,0.039
5016.03,Fe,1,4.913,0.023
5016.16,Ti,1,0.8484,0.768
5016.48,Fe,1,4.2563,0.535
5016.65,Fe,1,3.695,0.177
5017.09,C,1,7.946,0.029
5017.09,C,1,7.946,0.031
5017.37,Cr,1,3.551,0.047
5017.57,Ni,1,3.539,0.796
5017.64,Mn,1,5.181,0.217
5018.03,Fe,1,3.635,0.326
5018.07,C,1,7.946,0.079
5018.16,Cr,1,3.847,0.046
5018.28,Ni,1,3.833,0.647
5018.35,Fe,1,3.882,0.054
5018.41,Fe,1,3.237,0.206
5018.44,Fe,2,2.891,0.876
5018.47,Mn,1,4.435,0.022
5018.61,Fe,1,4.607,0.084
5019.15,Mn,1,4.435,0.11
5019.16,Fe,1,4.58,0.037
5019.18,Cr,1,0.968,0.088
5019.25,Fe,1,3.929,0.028
5019.46,Fe,2,5.569,0.045
5019.47,Fe,1,4.956,0.031
5019.66,Fe,1,4.143,0.388
5019.73,Fe,1,3.984,0.293
5019.89,Ti,1,2.239,0.03
5019.97,Ca,2,7.515,0.259
5020.03,Ti,1,0.836,0.788
5020.49,Fe,1,4.607,0.472
5020.67,Fe,1,3.252,0.126
5020.72,Mn,1,4.435,0.286
5020.82,Fe,1,3.547,0.215
5021.14,Ca,2,7.515,0.052
5021.51,Fe,1,4.956,0.024
5021.59,Fe,1,4.256,0.71
5021.68,Fe,1,4.218,0.59
5021.8,Fe,1,4.608,0.068
5021.9,Cr,1,0.941,0.068
5021.93,Fe,1,3.274,0.675
5022.05,Ti,2,2.59,0.147
5022.08,Mn,1,3.378,0.065
5022.24,Fe,1,3.9841,0.807
5022.79,Fe,1,2.99,0.726
5022.87,Ce,2,1.044,0.065
5022.87,Ti,1,0.8259,0.789
5023.19,Fe,1,4.283,0.494
5023.33,Ti,1,2.16,0.029
5023.49,Fe,1,4.312,0.426
5023.67,Cr,1,3.011,0.026
5023.84,C,1,7.946,0.052
5024.22,Fe,1,4.607,0.051
5024.79,Fe,1,4.186,0.196
5024.84,Ti,1,0.818,0.769
5025.08,Fe,1,4.26,0.308
5025.3,Fe,1,4.284,0.275
5025.53,Fe,1,4.608,0.034
5025.55,Cr,1,0.983,0.065
5025.57,Ti,1,2.041,0.683
5027.03,Cr,1,3.013,0.073
5027.12,Fe,1,4.154,0.774
5027.23,Fe,1,3.64,0.638
5027.29,Fe,1,3.64,0.26
5027.34,Fe,1,3.984,0.099
5027.63,Cr,1,3.45,0.068
5027.76,Fe,1,4.2089,0.69
5027.85,Nd,2,0.55,0.042
5028.05,Cr,1,3.013,0.078
5028.13,Fe,1,3.5732,0.796
5028.35,Fe,1,4.638,0.152
5029.62,Fe,1,3.415,0.658
5029.8,Mn,1,2.941,0.152
5030.29,Ti,1,2.334,0.075
5030.64,Mn,1,3.383,0.154
5030.78,Fe,1,3.237,0.383
5031.02,Sc,2,1.357,0.755
5031.04,Fe,1,3.642,0.447
5031.49,Cr,1,4.208,0.028
5031.91,Fe,1,4.371,0.381
5032.55,Cr,1,4.455,0.025
5032.72,Ni,1,3.898,0.373
5033.51,Nd,2,1.136,0.056
5034.41,Pr,2,1.111,0.027
5034.46,Fe,1,4.283,0.338
5035.36,Ni,1,3.6353,0.807
5035.5,Ti,1,2.345,0.166
5035.9,Ti,1,1.46,0.783
5035.97,Ni,1,3.655,0.76
5036.42,Fe,1,4.913,0.054
5036.46,Ti,1,1.4432,0.763
5036.72,Cr,1,3.01,0.026
5036.92,Fe,2,2.828,0.131
5037.79,Ti,2,1.582,0.093
5037.8,Ce,2,1.008,0.039
5038.4,Ti,1,1.4298,0.75
5038.51,Fe,1,3.882,0.351
5038.58,Cr,1,3.85,0.027
5038.59,Ni,1,3.833,0.738
5039.05,C,1,7.946,0.116
5039.1,C,1,7.946,0.043
5039.13,Cr,1,3.011,0.048
5039.18,Fe,1,4.283,0.084
5039.25,Fe,1,3.3683,0.766
5039.36,Ni,1,3.635,0.558
5039.96,Ti,1,0.0211,0.803
5040.12,C,1,7.946,0.043
5040.25,Fe,1,4.22,0.288
5040.26,Mn,1,4.685,0.023
5040.62,Ti,1,0.8259,0.269
5040.74,Ni,1,3.655,0.199
5040.75,C,1,7.946,0.025
5040.85,Fe,1,4.256,0.752
5040.91,Fe,1,4.283,0.776
5041.01,Ni,1,3.833,0.548
5041.02,Si,2,10.067,0.063
5041.07,Fe,1,0.958,0.902
5041.31,Fe,1,4.284,0.283
5041.35,Fe,1,3.017,0.042
5041.45,Fe,1,4.549,0.11
5041.48,C,1,7.946,0.077
5041.62,Ca,1,2.7091,0.76
5041.73,Fe,1,3.695,0.021
5041.76,Fe,1,1.4848,0.889
5041.78,C,1,7.946,0.07
5041.85,Fe,1,4.283,0.715
5041.89,Ti,1,2.334,0.026
5042.18,Ni,1,3.6577,0.72
5042.42,Fe,1,3.884,0.262
5042.51,Cr,1,3.013,0.023
5042.58,Mn,1,2.953,0.048
5042.97,Si,1,5.082,0.07
5043.58,Ti,1,0.836,0.32
5044.02,Ce,2,1.212,0.077
5044.21,Fe,1,2.8513,0.774
5045.41,Ti,1,0.848,0.196
5046.6,Zr,1,1.53,0.03
5047.13,Fe,1,4.584,0.128
5047.24,V,1,1.931,0.024
5047.29,V,2,2.557,0.037
5047.7,Fe,1,3.695,0.244
