Wavl[A],Elm,Ion,Elow[eV],UnBrCalDep
4227.76,Fe,1,4.473,0.119
4227.97,Fe,1,4.256,0.173
4228.02,Nd,2,0.205,0.102
4228.19,Nd,2,0.631,0.091
4228.23,Nd,2,0.471,0.029
4228.33,C,1,7.685,0.034
4228.72,Fe,1,3.368,0.516
4229.41,Fe,1,2.588,0.769
4229.48,Ni,1,3.847,0.422
4229.51,Fe,1,3.274,0.838
4229.51,Nd,2,0,0.076
4229.52,Fe,1,4.191,0.057
4229.53,Fe,1,2.949,0.485
4229.69,V,1,1.942,0.05
4229.71,Sm,2,0.04,0.138
4229.75,Fe,1,1.485,0.857
4229.8,Gd,2,1.621,0.032
4229.81,Cr,2,3.827,0.033
4229.94,Co,1,0.174,0.092
4230.12,Ce,2,0.521,0.03
4230.13,Mn,1,2.953,0.123
4230.27,Fe,1,4.231,0.157
4230.28,Cr,1,2.983,0.059
4230.38,Ni,1,3.796,0.17
4230.47,Cr,1,3.011,0.281
4230.55,Fe,1,4.103,0.168
4230.57,Fe,1,3.017,0.674
4230.94,La,2,1.956,0.026
4231.03,Ni,1,3.542,0.53
4231.18,V,2,1.704,0.047
4231.6,Fe,1,2.609,0.177
4231.63,Zr,2,1.756,0.167
4231.75,Ce,2,1.244,0.128
4231.82,Fe,1,4.415,0.029
4231.95,Fe,1,4.435,0.033
4231.97,Fe,1,4.58,0.1
4232.04,V,2,3.973,0.072
4232.05,Ce,2,0.957,0.03
4232.24,Cr,1,4.208,0.12
4232.25,Fe,1,4.22,0.212
4232.36,Ti,1,2.305,0.151
4232.37,Nd,2,0.064,0.441
4232.43,Hf,2,2.343,0.021
4232.45,V,1,1.955,0.372
4232.56,Ce,2,0.721,0.029
4232.73,Fe,1,0.11,0.862
4232.84,Fe,1,4.154,0.26
4232.85,Cr,1,3.013,0.05
4232.95,V,1,1.95,0.473
4232.96,Cr,1,3.826,0.023
4232.99,Cr,1,4.447,0.096
4233.15,Nd,2,1.247,0.028
4233.17,Fe,2,2.583,0.914
4233.24,Cr,2,3.864,0.381
4233.59,Sc,1,2.001,0.024
4233.6,Fe,1,2.4822,0.954
4233.98,Co,1,0,0.13
4234,V,1,1.945,0.17
4234,V,1,0.04,0.115
4234.03,Fe,1,3.573,0.797
4234.07,Fe,1,4.26,0.049
4234.17,Nd,2,0.182,0.142
4234.21,Ce,2,0.521,0.108
4234.26,V,2,1.686,0.246
4234.47,Cr,1,3.122,0.221
4234.52,V,1,0,0.125
4234.55,V,2,3.759,0.027
4234.55,Fe,1,3.547,0.302
4234.57,Sm,2,0.434,0.11
4234.73,Ce,2,0.823,0.042
4234.78,Er,2,0.67,0.022
4234.79,Cr,1,3.839,0.022
4235.14,Mn,1,2.92,0.83
4235.24,Nd,2,1.251,0.08
4235.28,Ni,1,4.236,0.171
4235.3,Mn,1,2.888,0.87
4235.39,Fe,1,3.396,0.816
4235.52,Cr,1,4.44,0.038
4235.54,Ni,1,4.154,0.138
4235.63,Fe,1,2.559,0.127
4235.73,Y,2,0.13,0.688
4235.76,V,1,1.942,0.145
4235.82,Fe,1,4.191,0.122
4235.82,Fe,1,2.404,0.359
4235.93,Y,1,0.066,0.115
4235.94,Fe,1,2.4254,0.958
4235.96,Fe,1,3.332,0.847
4236,Cr,1,3.01,0.236
4236.02,Ce,2,0.587,0.138
4236.15,Pr,2,0.204,0.057
4236.35,Ce,2,1.088,0.036
4236.36,Ni,1,4.105,0.427
4236.38,Cr,2,3.104,0.101
4236.61,Zr,2,1.759,0.038
4236.74,Sm,2,0.659,0.16
4236.77,Fe,1,3.635,0.362
4236.81,V,2,1.687,0.118
4237.07,Fe,1,0.958,0.793
4237.34,Co,1,2.28,0.079
4237.42,Fe,1,4.415,0.087
4237.66,Sm,2,0.104,0.1
4237.67,Fe,1,3.018,0.759
4237.7,Cr,1,3.011,0.153
4237.7,Fe,1,4.301,0.11
4237.77,Ti,1,2.305,0.128
4237.89,Ti,1,2.506,0.402
4238.01,Fe,1,3.417,0.37
4238.02,Fe,1,3.417,0.883
4238.05,Sc,1,2.01,0.047
4238.06,Cr,1,3.98,0.071
4238.25,Fe,1,4.584,0.085
4238.37,La,2,0.403,0.602
4238.61,Fe,1,3.634,0.263
4238.73,Fe,1,4.473,0.054
4238.78,Gd,2,1.127,0.063
4238.79,Mn,2,1.833,0.455
4238.81,Fe,1,3.396,0.919
4238.95,Cr,1,3.011,0.52
4238.99,Na,1,2.102,0.105
4239.01,Fe,1,2.759,0.054
4239.3,Zr,1,0.687,0.176
4239.36,Fe,1,3.6417,0.812
4239.63,Ni,1,4.236,0.024
4239.65,Ce,2,1.406,0.022
4239.73,Mn,1,2.941,0.752
4239.73,Fe,1,2.949,0.876
4239.84,Fe,1,0.958,0.391
4239.84,Nd,2,1.251,0.079
4239.85,Fe,1,2.692,0.888
4239.86,Ni,1,3.193,0.117
4239.91,Ce,2,0.478,0.371
4239.94,Fe,1,3.071,0.782
4240.03,Pr,2,1.016,0.036
4240.08,V,1,1.945,0.033
4240.19,Fe,1,4.103,0.047
4240.2,Fe,1,4.154,0.04
4240.34,Zr,1,0.604,0.083
4240.35,V,1,1.95,0.046
4240.37,Fe,1,3.546,0.843
4240.46,Ca,1,2.709,0.798
4240.69,Fe,1,2.99,0.571
4240.71,Cr,1,2.983,0.241
4240.78,Fe,1,4.371,0.162
4240.82,Fe,1,3.943,0.027
4241.01,Pr,2,0.55,0.081
4241.11,Fe,1,2.831,0.772
4241.19,Nd,2,1.752,0.026
4241.2,Zr,1,0.623,0.084
4241.31,V,1,1.955,0.032
4241.41,Ce,2,1.027,0.021
4241.44,Pr,2,0.422,0.031
4241.51,Co,1,3.632,0.106
4241.68,Zr,1,0.651,0.232
4241.89,Co,1,2.08,0.034
4242.01,Ce,2,0.933,0.05
4242.08,Na,1,2.104,0.165
4242.08,Na,1,2.104,0.021
4242.08,Co,1,1.049,0.327
4242.15,Tm,2,0.029,0.044
4242.33,Mn,2,6.177,0.029
4242.36,Cr,2,3.871,0.706
4242.6,Fe,1,2.7275,0.79
4242.72,Ce,2,0.295,0.206
4242.73,Fe,1,3.301,0.82
4242.83,Cr,1,3.013,0.195
4242.86,Ce,2,1.123,0.061
4242.89,V,2,3.758,0.022
4243.37,Fe,1,3.64,0.797
4243.51,Pr,2,0.422,0.054
4243.54,Fe,1,3.6946,0.706
4243.76,Mn,1,4.345,0.038
4243.82,Fe,1,3.8836,0.776
4243.97,Fe,2,0.232,0.09
4244.24,Fe,1,4.371,0.359
4244.7,Sm,2,0.277,0.108
4244.78,Ni,2,4.032,0.11
4244.96,Nd,2,0.205,0.052
4245.06,Cr,1,4.44,0.087
4245.15,Fe,1,4.076,0.301
4245.17,Sm,2,0.248,0.027
4245.26,Fe,1,2.858,0.905
4245.34,Fe,1,3.332,0.832
4245.36,Fe,1,4.154,0.304
4245.51,Ti,1,2.236,0.221
4245.8,Ce,2,0.459,0.052
4245.88,Ce,2,0.721,0.093
4245.97,Ce,2,0.529,0.187
4246.01,Fe,1,3.274,0.765
4246.08,Fe,1,3.642,0.847
