Wavl[A],Elm,Ion,Elow[eV],BrCalDep,CalBlending[%]
4911.53,Fe,1,4.256,0.2159,2.109
4911.78,Fe,1,3.929,0.3639,3.559
4913.61,Ti,1,1.873,0.51,1.813
4913.97,Ni,1,3.743,0.5601,0.493
4917.23,Fe,1,4.191,0.5374,1.016
4918.01,Fe,1,4.231,0.4612,2.788
4918.36,Ni,1,3.841,0.6451,2.169
4925.56,Ni,1,3.655,0.4893,2.169
4926.15,Ti,1,0.818,0.0739,6.246
4930.32,Fe,1,3.96,0.5694,6.246
4930.8,Ni,1,3.847,0.133,7.486
4935.83,Ni,1,3.941,0.5853,1.086
4936.34,Cr,1,3.113,0.4534,2.265
4946.03,Ni,1,3.796,0.2902,2.264
4952.28,Ni,1,3.606,0.1709,2.264
4953.2,Ni,1,3.74,0.5478,3.846
4954.81,Cr,1,3.122,0.4784,1.06
4962.57,Fe,1,4.178,0.5037,0.686
4964.93,Cr,1,0.941,0.3982,0.796
4965.17,Ni,1,3.796,0.2636,3.536
4969.92,Fe,1,4.218,0.6402,0.168
4971.34,Ni,1,3.658,0.5678,0.168
4973.1,Fe,1,3.96,0.6794,5.087
4986.22,Fe,1,4.218,0.4482,1.003
4992.79,Fe,1,4.26,0.0808,3.221
4993.35,Fe,2,2.807,0.3799,2.754
4993.68,Fe,1,4.209,0.4182,2.754
4998.22,Ni,1,3.606,0.5404,2.555
4999.11,Fe,1,4.186,0.323,5.351
5002.79,Fe,1,3.397,0.6447,0.991
5003.74,Ni,1,1.676,0.3573,1.113
5004.04,Fe,1,4.209,0.4446,0.79
5009.64,Ti,1,0.021,0.2656,3.542
5010.02,Ni,1,3.768,0.3737,3.542
5010.94,Ni,1,3.635,0.5329,0.482
5012.69,Fe,1,4.283,0.2599,5.575
5016.16,Ti,1,0.848,0.619,0.439
5016.48,Fe,1,4.256,0.3964,0.816
5023.19,Fe,1,4.283,0.3346,1.492
5023.5,Fe,1,4.313,0.2567,2.892
5024.84,Ti,1,0.818,0.621,4.598
5025.08,Fe,1,4.26,0.1642,4.074
5025.3,Fe,1,4.284,0.1525,2.644
5025.57,Ti,1,2.041,0.4644,2.644
5029.62,Fe,1,3.415,0.4942,0.579
