#lambda(nm,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness
420.5650 | 23777.540 | Cr I  | 32097.298 - 55874.838 | 3d4.4s2 a 1I                        | 6    | 3d4.(1I).4s.4p.(3P*) u 3H*          | 5    | 0.152 | 1
468.1605 | 21360.198 | Fe I  | 12968.554 - 34328.752 | 3d7.(4F).4s a 3F                    | 2    | 3d7.(4F).4p y 5F*                   | 3    | 0.465 | 3
468.2783 | 21354.823 | Fe I  | 37157.566 - 58512.387 | 3d6.(5D).4s.4p.(1P) y 5P*           | 2    | 3d6.4s.(4D).4d s.4D.4d.5F           | 2    | 0.290 | 1
468.3218 | 21352.839 | Ti I  |   386.874 - 21739.707 | 3d2.4s2 a 3F                        | 4    | 3d2.(3F).4s.4p.(3P*) z 3G*          | 5    | 0.681 | 3
468.3421 | 21351.912 | Fe I  | 36766.966 - 58118.875 | 3d6.(5D).4s.4p.(1P*) y 5P*          | 3    | 3d6.4s.(4D).4d 5F                   | 4    | 0.433 | 3
468.3871 | 21349.863 | Fe I  | 23711.456 - 45061.329 | 3d6.(5D).4s.4p.(3P*) z 7P*          | 4    | 3d6.(5D).4s (6D).5s e 5D            | 3    | 0.246 | 3
468.4870 | 21345.309 | Fe I  | 22838.323 - 44183.628 | 3d7.(4P).4s b 3P                    | 2    | 3d6.(3P2).4s.4p.(3P*) w 5D*         | 2    | 0.516 | 2
468.9488 | 21324.290 | Fe I  | 37157.566 - 58481.855 | 3d6.(5D).4s.4p.(1P*) y 5P*          | 2    | 3d6.4s.(4D).4d 5P                   | 3    | 0.415 | 3
473.7168 | 21109.657 | Fe I  | 32873.632 - 53983.293 | 3d8 c 3F                            | 4    | 3d6.(3G).4s.4p.(3P*) t 3G*          | 5    | 0.552 | 3
473.8098 | 21105.515 | Fe I  | 25899.989 - 47005.506 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 4    | 3d7.(4F).5s e 5F                    | 5    | 0.788 | 2
474.2856 | 21084.344 | Fe I  | 22838.323 - 43922.668 | 3d7.(4P).4s b 3P                    | 2    | 3d6.(3P2).4s.4p.(3P*) w 5D*         | 3    | 0.639 | 1
475.7448 | 21019.673 | Cr I  | 25038.498 - 46058.198 | 3d5.(4G).4s a 3G                    | 5    | 3d5.(4G).4p y 3F*                   | 4    | 0.572 | 1
475.9449 | 21010.835 | Ti I  | 18141.265 - 39152.103 | 3d3.(2H).4s a 3H                    | 5    | 3d3.(2H).4p x 3H*                   | 5    | 0.420 | 0
476.0600 | 21005.756 | Ti I  | 18192.570 - 39198.323 | 3d3.(2H).4s a 3H                    | 6    | 3d3.(2H).4p x 3H*                   | 6    | 0.447 | 0
476.2860 | 20995.788 | Mn I  | 23818.870 - 44814.730 | 3d6.(5D).4s a 4D                    | 1/2  | 3d6.(5D).4p z 4F*                   | 3/2  | 0.605 | 2
476.4110 | 20990.279 | Ti II |  8744.341 - 29734.621 | 3d2.(1D).4s a 2D                    | 5/2  | 3d2.(3F).4p z 4G*                   | 7/2  | 0.317 | 4
476.5626 | 20983.601 | Cr I  | 28636.963 - 49620.564 | 3d5.(4D).4s a 3D                    | 3    | 3d5.(4D).4p x 3F*                   | 4    | 0.260 | 2
476.7190 | 20976.718 | Mn I  | 23719.520 - 44696.290 | 3d6.(5D).4s a 4D                    | 3/2  | 3d6.(5D).4p z 4F*                   | 5/2  | 0.632 | 2
476.9189 | 20967.928 | Cr I  | 28682.205 - 49650.132 | 3d5.(4D).4s a 3D                    | 2    | 3d5.(4D).4p x 3F*                   | 3    | 0.177 | 2
477.7402 | 20931.878 | Fe I  | 26623.735 - 47555.610 | 3d7.(2D2).4s a 3D                   | 2    | 3d7.(4P).4p y 3S*                   | 1    | 0.249 | 3
478.7294 | 20888.626 | Fe I  | 33412.717 - 54301.340 | 3d8 c 3F                            | 3    | 3d6.(3D).4s.4p.(3P*) 5D*            | 4    | 0.267 | 2
478.7619 | 20887.210 | Ni I  | 13521.347 - 34408.555 | 3d8.(1D).4s2 1D                     | 2    | 3d8.(3F).4s.4p.(3P*) 3D*            | 1    | 0.339 | 3
478.9165 | 20880.466 | Fe I  | 24180.862 - 45061.329 | 3d6.(5D).4s.4p.(3P*) z 7P*          | 3    | 3d6.(5D).4s (6D).5s e 5D            | 3    | 0.393 | 1
479.2585 | 20865.565 | Fe I  | 26406.465 - 47272.027 | 3d7.(2D2).4s a 3D                   | 1    | 3d7.(4P).4p w 3D*                   | 1    | 0.367 | 5
479.4208 | 20858.503 | Co I  | 26232.020 - 47090.583 | 3d7.(4F).4s.4p.(3P*)                | 7/2  | 3d7.4S.(5F).5s e 6F                 | 5/2  | 0.316 | 0
479.9873 | 20833.885 | Ti II |  8710.567 - 29544.454 | 3d2.(1D).4s a 2D                    | 3/2  | 3d2.(3F).4p z 4G*                   | 5/2  | 0.420 | 2
480.0072 | 20833.020 | Fe I  | 12968.554 - 33801.572 | 3d7.(4F).4s a 3F                    | 2    | 3d7.(4F).4p y 5D*                   | 2    | 0.325 | 2
480.1470 | 20826.955 | Fe I  | 24506.917 - 45333.875 | 3d6.(5D).4s.4p.(3P*) z 7P*          | 2    | 3d6.(5D).4s (6D).5s e 5D            | 2    | 0.169 | 2
480.2370 | 20823.052 | Cr I  | 25177.354 - 46000.421 | 3d4.4s2 a 3F                        | 4    | 3d5.(4G).4p y 3F*                   | 3    | 0.446 | 1
480.5862 | 20807.923 | Fe I  | 28819.954 - 49627.884 | 3d7.(2H).4s a 1H                    | 5    | 3d7.(2G).4p v 3G*                   | 4    | 0.218 | 3
