#lambda(Å,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness

4343.034 | 23025.378 | Fe I  | 28604.613 - 51630.001 | 3d7.(2D2).4s a 1D                   | 2    | 3d6.(5D).4s (6D).5p t 5D*           | 2    | 0.169 | 5 
4346.111 | 23009.076 | Fe I  | 33507.123 - 56516.218 | 3d7.(4F).4p y 5D*                   | 3    | 3d7.(4F).6s 5F                      | 4    | 0.337 | 2 

4343.034 | 23025.378 | Fe I  | 28604.613 - 51630.001 | 3d7.(2D2).4s a 1D                   | 2    | 3d6.(5D).4s (6D).5p t 5D*           | 2    | 0.169 | 5 
4351.364 | 22981.300 | Fe I  | 34547.211 - 57528.512 | 367.(4F).4p y(5F*)                  | 2    | (4F).6s 5F                          | 2    | 0.179 | 5 

4346.111 | 23009.076 | Fe I  | 33507.123 - 56516.218 | 3d7.(4F).4p y 5D*                   | 3    | 3d7.(4F).6s 5F                      | 4    | 0.337 | 2 
4351.364 | 22981.300 | Fe I  | 34547.211 - 57528.512 | 367.(4F).4p y(5F*)                  | 2    | (4F).6s 5F                          | 2    | 0.179 | 5 

4370.628 | 22880.007 | Fe II | 22409.818 - 45289.825 | 3d6.(3P2).4s b 4P                   | 1/2  | 3d6.(5D).4p z 4F*                   | 3/2  | 0.412 | 4 
4381.963 | 22820.823 | Fe I  | 33695.397 - 56516.218 | 3d7.(4F).4p y(5F*)                  | 5    | 3d7.(4F).6s 4F.6s.(5F)              | 4    | 0.535 | 5 

4381.963 | 22820.823 | Fe I  | 33695.397 - 56516.218 | 3d7.(4F).4p y(5F*)                  | 5    | 3d7.(4F).6s 4F.6s.(5F)              | 4    | 0.535 | 5 
4386.207 | 22798.742 | Cr I  |  8307.575 - 31106.317 | 3d4.4s2 a 5D                        | 4    | 3d4.(5D).4s.4p.(3P*) z 5F*          | 4    | 0.626 | 4 

4387.097 | 22794.116 | Ti I  | 19573.974 - 42368.093 | 3d2.(3F).4s.4p.(3P*) z 3F*          | 4    | 3d2.4s.(4F).4d 3H                   | 5    | 0.164 | 4 
4398.472 | 22735.168 | Cr I  | 24286.542 - 47021.711 | 3d5.(4D).4s b 5D                    | 1    | 3d5.(4P).4p u 5P*                   | 1    | 0.234 | 5 

4398.472 | 22735.168 | Cr I  | 24286.542 - 47021.711 | 3d5.(4D).4s b 5D                    | 1    | 3d5.(4P).4p u 5P*                   | 1    | 0.234 | 5 
4399.855 | 22728.022 | Ni I  | 28578.018 - 51306.038 | 3d8.(3F).4s.4p.(3P) 5G3             | 3    | 3d8.4s.(4F).5s 3F3                  | 3    | 0.199 | 5 

4398.472 | 22735.168 | Cr I  | 24286.542 - 47021.711 | 3d5.(4D).4s b 5D                    | 1    | 3d5.(4P).4p u 5P*                   | 1    | 0.234 | 5 
4400.835 | 22722.961 | Ni I  | 31031.020 - 53753.982 | 3d9.(2D).4p 1F3                     | 3    | 3d9.(2D[3/2]).6s [3/2]2             | 2    | 0.331 | 5 

4399.855 | 22728.022 | Ni I  | 28578.018 - 51306.038 | 3d8.(3F).4s.4p.(3P) 5G3             | 3    | 3d8.4s.(4F).5s 3F3                  | 3    | 0.199 | 5 
4400.835 | 22722.961 | Ni I  | 31031.020 - 53753.982 | 3d9.(2D).4p 1F3                     | 3    | 3d9.(2D[3/2]).6s [3/2]2             | 2    | 0.331 | 5 

4399.855 | 22728.022 | Ni I  | 28578.018 - 51306.038 | 3d8.(3F).4s.4p.(3P) 5G3             | 3    | 3d8.4s.(4F).5s 3F3                  | 3    | 0.199 | 5 
4411.270 | 22669.209 | Ru I  |  9183.660 - 31852.900 | 4d7.(a 4F).5s a 3F                  | 2    | 4d7.(a 4F).5p z 3G*                 | 3    | 0.263 | 5 

4400.835 | 22722.961 | Ni I  | 31031.020 - 53753.982 | 3d9.(2D).4p 1F3                     | 3    | 3d9.(2D[3/2]).6s [3/2]2             | 2    | 0.331 | 5 
4404.412 | 22704.506 | Fe I  | 36686.176 - 59390.684 | 3d7.(4F).4p y 3F*                   | 4    | (4F).5d 5D                          | 3    | 0.499 | 5 

4400.835 | 22722.961 | Ni I  | 31031.020 - 53753.982 | 3d9.(2D).4p 1F3                     | 3    | 3d9.(2D[3/2]).6s [3/2]2             | 2    | 0.331 | 5 
4411.270 | 22669.209 | Ru I  |  9183.660 - 31852.900 | 4d7.(a 4F).5s a 3F                  | 2    | 4d7.(a 4F).5p z 3G*                 | 3    | 0.263 | 5 

4490.998 | 22266.766 | Fe I  |   978.074 - 23244.838 | 3d6.4s2 a 5D                        | 0    | 3d6.(5D).4s.4p.(3P*) z 7F*          | 1    | 0.787 | 1 
4492.660 | 22258.528 | Fe II | 23031.283 - 45289.825 | 3d6.(3F2).4s b 4F                   | 3/2  | 3d6.(5D).4p z 4F*                   | 3/2  | 0.629 | 2 

4490.998 | 22266.766 | Fe I  |   978.074 - 23244.838 | 3d6.4s2 a 5D                        | 0    | 3d6.(5D).4s.4p.(3P*) z 7F*          | 1    | 0.787 | 1 
4502.533 | 22209.721 | Ti II |  8997.787 - 31207.511 | 3d3 a 2G                            | 7/2  | 3d2.(3F).4p z 2F*                   | 5/2  | 0.838 | 3 

4492.660 | 22258.528 | Fe II | 23031.283 - 45289.825 | 3d6.(3F2).4s b 4F                   | 3/2  | 3d6.(5D).4p z 4F*                   | 3/2  | 0.629 | 2 
